iter	Passed	Remaining
408	5128	7411
409	5140	7397
410	5152	7384
411	5163	7369
412	5175	7355
413	5187	7342
414	5199	7329
415	5210	7315
416	5224	7303
417	5236	7290
418	5248	7277
419	5259	7263
420	5272	7251
421	5284	7238
422	5294	7222
423	5306	7208
424	5321	7199
425	5333	7185
426	5344	7171
427	5356	7158
428	5370	7148
429	5383	7135
430	5394	7122
431	5408	7111
432	5422	7100
433	5434	7087
434	5445	7072
435	5456	7058
436	5469	7046
437	5481	7033
438	5492	7019
439	5504	7006
440	5517	6994
441	5529	6980
442	5541	6967
443	5553	6954
444	5564	6940
445	5575	6926
446	5588	6913
447	5600	6901
448	5612	6886
449	5623	6873
450	5636	6861
451	5648	6848
452	5659	6833
453	5671	6820
454	5683	6808
455	5695	6794
456	5706	6780
457	5720	6769
458	5732	6756
459	5763	6765
460	5802	6784
461	5817	6774
462	5832	6765
463	5845	6753
464	5857	6739
465	5869	6726
466	5881	6713
467	5893	6698
468	5904	6684
469	5917	6673
470	5929	6660
471	5940	6645
472	5952	6632
473	5964	6619
474	5975	6604
475	5987	6590
476	5999	6578
477	6012	6565
478	6023	6551
479	6035	6537
480	6047	6525
481	6058	6511
482	6071	6498
483	6083	6485
484	6095	6472
485	6106	6458
486	6119	6445
487	6131	6433
488	6144	6421
489	6156	6407
490	6167	6394
491	6180	6381
492	6191	6367
493	6203	6353
494	6216	6342
495	6228	6329
496	6240	6315
497	6251	6301
498	6263	6288
499	6274	6274
500	6285	6260
501	6298	6248
502	6311	6235
503	6322	6221
504	6334	6208
505	6346	6196
506	6359	6183
507	6370	6169
508	6382	6157
509	6396	6145
510	6410	6134
511	6422	6121
512	6433	6107
513	6446	6095
514	6458	6082
515	6469	6068
516	6482	6055
517	6494	6043
518	6505	6029
519	6517	6015
520	6529	6003
521	6541	5990
522	6552	5976
523	6564	5963
524	6578	5952
525	6590	5938
526	6601	5925
527	6614	5912
528	6626	5900
529	6638	5886
530	6650	5873
531	6663	5861
532	6676	5849
533	6688	5836
534	6700	5824
535	6714	5812
536	6727	5800
537	6740	5788
538	6752	5775
539	6765	5763
540	6778	5751
541	6791	5739
542	6804	5726
543	6816	5713
544	6829	5701
545	6842	5689
546	6855	5677
547	6867	5664
548	6880	5652
549	6893	5640
550	6906	5628
551	6917	5614
552	6930	5601
553	6944	5590
554	6957	5578
555	6968	5564
556	6981	5552
557	6995	5541
558	7009	5529
559	7021	5516
560	7033	5503
561	7046	5491
562	7059	5479
563	7073	5467
564	7085	5454
565	7097	5442
566	7111	5431
567	7124	5418
568	7136	5405
569	7148	5392
570	7161	5380
571	7174	5368
572	7187	5356
573	7199	5343
574	7211	5330
575	7225	5318
576	7238	5306
577	7251	5294
578	7263	5281
579	7277	5269
580	7289	5257
581	7302	5244
582	7314	5231
583	7326	5219
584	7340	5207
585	7354	5195
586	7369	5184
587	7382	5172
588	7395	5160
589	7409	5149
590	7423	5137
591	7437	5125
592	7448	5112
593	7460	5099
594	7474	5087
595	7487	5075
596	7500	5063
597	7512	5049
598	7525	5037
599	7539	5026
600	7552	5013
601	7564	5001
602	7577	4988
603	7590	4976
604	7604	4964
605	7617	4952
606	7629	4939
607	7642	4927
608	7656	4915
609	7670	4903
610	7682	4890
611	7694	4878
612	7707	4866
613	7720	4853
614	7733	4840
615	7745	4828
616	7758	4815
617	7772	4804
618	7784	4791
619	7797	4779
620	7810	4766
621	7823	4754
622	7836	4741
623	7849	4729
624	7861	4716
625	7874	4704
626	7887	4692
627	7902	4680
628	7915	4668
629	7926	4655
630	7940	4643
631	7954	4631
632	7967	4619
633	7979	4606
634	7991	4593
635	8005	4581
636	8019	4569
637	8031	4557
638	8043	4544
639	8056	4531
640	8070	4519
641	8083	4507
642	8097	4495
643	8110	4483
644	8122	4470
645	8136	4458
646	8149	4446
647	8161	4433
648	8174	4420
649	8186	4408
650	8200	4396
651	8213	4383
652	8225	4371
653	8238	4358
654	8252	4346
655	8265	4334
656	8278	4321
657	8290	4309
658	8304	4297
659	8318	4285
660	8331	4273
661	8343	4260
662	8356	4247
663	8369	4235
664	8384	4223
665	8398	4212
666	8412	4199
667	8425	4187
668	8438	4175
669	8453	4163
670	8468	4151
671	8481	4140
672	8495	4127
673	8508	4115
674	8520	4102
675	8534	4090
676	8549	4078
677	8563	4066
678	8576	4054
679	8592	4043
680	8605	4031
681	8619	4019
682	8633	4007
683	8646	3994
684	8660	3982
685	8672	3969
686	8686	3957
687	8700	3945
688	8714	3933
689	8728	3921
690	8741	3908
691	8754	3896
692	8768	3884
693	8782	3872
694	8796	3860
695	8809	3847
696	8822	3835
