Name,Price,Week,Month,Year,Season
Green_Chillies_LCVEG_1kg,668.06,1,6,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,146.11,1,6,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,201.74,1,6,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,291.35,1,6,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,673.61,2,6,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,146.49,2,6,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,202.86,2,6,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,294.59,2,6,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,649.51,3,6,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,145.09,3,6,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,199.89,3,6,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,305.13,3,6,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,522.36,4,6,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,145.37,4,6,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,192.11,4,6,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,293.53,4,6,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,499.51,1,7,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,140.53,1,7,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,176.32,1,7,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,230.29,1,7,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,528.42,2,7,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,137.84,2,7,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,169.23,2,7,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,229.06,2,7,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,503.78,3,7,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,134.87,3,7,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,141.67,3,7,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,228.89,3,7,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,484.62,4,7,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,133.0,4,7,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,138.24,4,7,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,230.77,4,7,2017,South-West Monsoon Season
