Date,"Buy Rate","Sell Rate"
2023-07-14,310.4938,324.6783
2023-07-13,308.1626,321.8765
2023-07-12,306.1518,320.6817
2023-07-11,305.1317,319.3229
2023-07-10,304.0216,318.2388
2023-07-07,302.6459,317.0914
2023-07-06,300.0054,315.1016
2023-07-05,298.8980,313.6680
2023-07-04,299.8709,314.9879
2023-06-28,301.1590,316.6728
2023-06-27,301.3255,316.7243
2023-06-26,299.8333,314.9261
2023-06-23,299.0378,314.3650
2023-06-22,298.5485,314.9630
2023-06-21,298.4708,314.4947
2023-06-20,297.2877,314.3802
2023-06-19,297.5388,315.1281
2023-06-16,300.5194,319.6600
2023-06-15,311.6057,328.9272
2023-06-14,303.1925,318.9974
2023-06-13,294.9114,309.2237
2023-06-12,290.0692,303.7392
2023-06-09,288.0867,301.1291
2023-06-08,285.6900,298.9191
2023-06-07,285.5677,298.4378
2023-06-06,284.8487,297.9434
2023-06-05,285.6164,298.8583
2023-06-02,287.4258,300.3287
2023-06-01,283.8763,297.2316
2023-05-31,287.8711,300.9210
2023-05-30,290.6745,303.9548
2023-05-29,289.8986,303.2640
2023-05-26,295.6297,308.5472
2023-05-25,297.6055,310.9562
2023-05-24,297.9878,311.2316
2023-05-23,299.1941,312.3359
2023-05-22,299.7149,313.8244
2023-05-19,300.6519,314.0848
2023-05-18,299.2144,312.3715
2023-05-17,302.4257,316.1880
2023-05-16,305.4335,318.7965
2023-05-15,306.1892,319.9619
2023-05-12,306.3886,320.0375
2023-05-11,308.6645,322.7018
2023-05-10,310.9048,324.8084
2023-05-09,311.0091,325.9516
2023-05-08,312.1955,326.3198
2023-05-04,312.5034,326.6292
2023-05-03,313.0513,327.9562
2023-05-02,313.7362,328.4158
2023-04-28,313.9239,328.7514
2023-04-27,313.8324,328.7701
2023-04-26,313.4509,328.6723
2023-04-25,313.2667,328.5407
2023-04-24,313.3347,328.4847
2023-04-21,313.0593,328.5152
2023-04-20,313.1292,327.8921
2023-04-19,312.9164,327.7272
2023-04-18,312.4139,327.4612
2023-04-17,312.0717,327.0215
2023-04-12,311.5607,327.1787
2023-04-11,311.4414,327.6693
2023-04-10,311.6379,327.7229
2023-04-06,313.2952,330.5619
2023-04-04,313.3744,330.5038
2023-04-03,316.7511,334.2094
2023-03-31,318.2770,336.0123
2023-03-30,317.7257,335.4110
2023-03-29,315.7075,333.4925
2023-03-28,315.8454,332.8711
2023-03-27,314.8250,332.5841
2023-03-24,314.7491,331.3791
2023-03-23,311.2617,328.6083
2023-03-22,312.6153,330.1625
2023-03-21,316.8483,334.9328
2023-03-20,331.7174,349.8726
2023-03-17,332.2035,350.2275
2023-03-16,329.0282,346.3312
2023-03-15,327.5998,344.6634
2023-03-14,319.8479,335.6887
2023-03-13,311.8237,328.8699
2023-03-10,311.6269,328.9042
2023-03-09,307.3635,325.5218
2023-03-08,313.7749,331.0583
2023-03-07,318.3051,335.7502
2023-03-03,334.5016,348.0322
2023-03-02,343.9719,356.7393
2023-03-01,351.7219,362.9543
2023-02-28,357.6822,366.9212
2023-02-27,358.3621,367.9284
2023-02-24,358.7244,368.7702
2023-02-23,359.0062,368.5292
2023-02-22,359.3576,368.6063
2023-02-21,359.9702,369.3116
2023-02-20,359.4464,369.5636
2023-02-17,359.4766,369.6666
2023-02-16,359.5764,369.8164
2023-02-15,359.6092,369.8892
2023-02-14,359.6455,369.9523
2023-02-13,359.4698,369.9592
2023-02-10,359.0735,370.2484
2023-02-09,359.4009,370.2786
2023-02-08,359.4792,370.3547
2023-02-07,360.0937,370.2611
2023-02-06,359.9968,370.1832
2023-02-03,360.2903,370.3529
2023-02-02,360.4101,371.0331
2023-02-01,360.4935,371.3942
2023-01-31,360.4879,371.3887
2023-01-30,360.4501,371.3035
2023-01-27,360.4879,371.3887
2023-01-26,360.4879,371.3887
2023-01-25,360.4912,371.3909
2023-01-24,360.4912,371.3909
2023-01-23,360.5496,371.3845
2023-01-20,360.5513,371.3915
2023-01-19,360.5572,371.3916
