Name,Price,Week,Month,Year
Imported Potatoes 1Kg,116.32,1,7,2017
Carrot 1kg,230.29,1,7,2017
Tomatoe No1. 1kg,196.22,1,7,2017
Leeks 1kg,137.84,2,7,2017
Local Potatoes 1Kg,177.95,2,7,2017
Imported Potatoes 1Kg,115.0,2,7,2017
Carrot 1kg,229.06,2,7,2017
Tomatoe No1. 1kg,188.24,2,7,2017
Leeks 1kg,134.87,3,7,2017
Local Potatoes 1Kg,179.84,3,7,2017
Imported Potatoes 1Kg,114.38,3,7,2017
Carrot 1kg,228.89,3,7,2017
Tomatoe No1. 1kg,180.51,3,7,2017
Leeks 1kg,133.0,4,7,2017
Local Potatoes 1Kg,180.33,4,7,2017
Imported Potatoes 1Kg,116.85,4,7,2017
Carrot 1kg,230.77,4,7,2017
Tomatoe No1. 1kg,185.0,4,7,2017
Leeks 1kg,134.05,1,8,2017
Local Potatoes 1Kg,178.81,1,8,2017
Imported Potatoes 1Kg,115.26,1,8,2017
Carrot 1kg,204.21,1,8,2017
Tomatoe No1. 1kg,197.22,1,8,2017
Leeks 1kg,134.44,2,8,2017
Local Potatoes 1Kg,182.45,2,8,2017
Imported Potatoes 1Kg,116.67,2,8,2017
Carrot 1kg,196.92,2,8,2017
Tomatoe No1. 1kg,191.11,2,8,2017
Leeks 1kg,133.83,3,8,2017
Local Potatoes 1Kg,173.81,3,8,2017
Imported Potatoes 1Kg,119.64,3,8,2017
Carrot 1kg,172.31,3,8,2017
Tomatoe No1. 1kg,183.68,3,8,2017
Leeks 1kg,131.49,4,8,2017
Local Potatoes 1Kg,177.12,4,8,2017
Imported Potatoes 1Kg,114.0,4,8,2017
Carrot 1kg,159.68,4,8,2017
Tomatoe No1. 1kg,184.43,4,8,2017
Leeks 1kg,141.21,1,9,2017
Local Potatoes 1Kg,173.45,1,9,2017
Imported Potatoes 1Kg,118.8,1,9,2017
Carrot 1kg,144.12,1,9,2017
Tomatoe No1. 1kg,198.23,1,9,2017
Leeks 1kg,150.8,2,9,2017
Local Potatoes 1Kg,175.0,2,9,2017
Imported Potatoes 1Kg,123.33,2,9,2017
Carrot 1kg,143.5,2,9,2017
Tomatoe No1. 1kg,220.42,2,9,2017
Leeks 1kg,153.3,3,9,2017
Local Potatoes 1Kg,163.81,3,9,2017
Imported Potatoes 1Kg,119.23,3,9,2017
Carrot 1kg,146.5,3,9,2017
Tomatoe No1. 1kg,219.38,3,9,2017
Leeks 1kg,171.5,4,9,2017
Local Potatoes 1Kg,164.91,4,9,2017
Imported Potatoes 1Kg,118.93,4,9,2017
Carrot 1kg,173.46,4,9,2017
Tomatoe No1. 1kg,208.16,4,9,2017
Leeks 1kg,180.57,1,10,2017
Local Potatoes 1Kg,160.15,1,10,2017
Imported Potatoes 1Kg,119.14,1,10,2017
Carrot 1kg,169.5,1,10,2017
Tomatoe No1. 1kg,195.89,1,10,2017
Leeks 1kg,198.86,2,10,2017
Local Potatoes 1Kg,162.67,2,10,2017
Imported Potatoes 1Kg,120.21,2,10,2017
Carrot 1kg,178.44,2,10,2017
Tomatoe No1. 1kg,202.6,2,10,2017
Leeks 1kg,194.48,3,10,2017
Local Potatoes 1Kg,164.38,3,10,2017
Imported Potatoes 1Kg,122.62,3,10,2017
Carrot 1kg,186.34,3,10,2017
Tomatoe No1. 1kg,208.45,3,10,2017
Leeks 1kg,205.26,4,10,2017
Local Potatoes 1Kg,159.5,4,10,2017
Imported Potatoes 1Kg,120.96,4,10,2017
Carrot 1kg,202.05,4,10,2017
Tomatoe No1. 1kg,214.29,4,10,2017
Leeks 1kg,238.89,1,11,2017
Local Potatoes 1Kg,165.63,1,11,2017
Imported Potatoes 1Kg,117.92,1,11,2017
Carrot 1kg,216.1,1,11,2017
Tomatoe No1. 1kg,195.37,1,11,2017
Leeks 1kg,236.76,2,11,2017
Local Potatoes 1Kg,152.05,2,11,2017
Imported Potatoes 1Kg,109.08,2,11,2017
Carrot 1kg,221.46,2,11,2017
Tomatoe No1. 1kg,205.09,2,11,2017
Leeks 1kg,267.5,3,11,2017
Local Potatoes 1Kg,150.07,3,11,2017
Imported Potatoes 1Kg,88.33,3,11,2017
Carrot 1kg,242.67,3,11,2017
Tomatoe No1. 1kg,149.03,3,11,2017
Leeks 1kg,296.9,4,11,2017
Local Potatoes 1Kg,144.94,4,11,2017
Imported Potatoes 1Kg,84.17,4,11,2017
Carrot 1kg,252.22,4,11,2017
Tomatoe No1. 1kg,141.08,4,11,2017
Leeks 1kg,290.42,1,12,2017
Local Potatoes 1Kg,153.04,1,12,2017
Imported Potatoes 1Kg,91.25,1,12,2017
Carrot 1kg,239.23,1,12,2017
Tomatoe No1. 1kg,139.49,1,12,2017
Leeks 1kg,294.5,2,12,2017
Local Potatoes 1Kg,154.5,2,12,2017
Imported Potatoes 1Kg,99.82,2,12,2017
Carrot 1kg,232.45,2,12,2017
Tomatoe No1. 1kg,136.22,2,12,2017
Leeks 1kg,288.11,3,12,2017
Local Potatoes 1Kg,161.92,3,12,2017
Imported Potatoes 1Kg,100.17,3,12,2017
Carrot 1kg,198.67,3,12,2017
Tomatoe No1. 1kg,178.59,3,12,2017
Leeks 1kg,292.77,4,12,2017
Local Potatoes 1Kg,158.52,4,12,2017
Imported Potatoes 1Kg,95.33,4,12,2017
Carrot 1kg,198.41,4,12,2017
Tomatoe No1. 1kg,181.54,4,12,2017
Leeks 1kg,267.95,1,1,2018
Local Potatoes 1Kg,162.73,1,1,2018
Imported Potatoes 1Kg,100.56,1,1,2018
Carrot 1kg,206.57,1,1,2018
Tomatoe No1. 1kg,145.6,1,1,2018
Leeks 1kg,250.77,2,1,2018
Local Potatoes 1Kg,158.65,2,1,2018
Imported Potatoes 1Kg,92.78,2,1,2018
Carrot 1kg,184.5,2,1,2018
Tomatoe No1. 1kg,130.72,2,1,2018
Leeks 1kg,261.84,3,1,2018
Local Potatoes 1Kg,151.15,3,1,2018
Imported Potatoes 1Kg,82.31,3,1,2018
Carrot 1kg,160.24,3,1,2018
Tomatoe No1. 1kg,110.61,3,1,2018
Leeks 1kg,259.14,4,1,2018
Local Potatoes 1Kg,150.0,4,1,2018
Imported Potatoes 1Kg,79.63,4,1,2018
Carrot 1kg,159.16,4,1,2018
Tomatoe No1. 1kg,104.81,4,1,2018
Leeks 1kg,168.11,1,2,2018
Local Potatoes 1Kg,178.24,1,2,2018
Imported Potatoes 1Kg,90.32,1,2,2018
Carrot 1kg,173.95,1,2,2018
Tomatoe No1. 1kg,132.32,1,2,2018
Leeks 1kg,144.21,2,2,2018
Local Potatoes 1Kg,169.17,2,2,2018
Imported Potatoes 1Kg,100.56,2,2,2018
Carrot 1kg,151.28,2,2,2018
Tomatoe No1. 1kg,106.35,2,2,2018
Leeks 1kg,142.67,3,2,2018
Local Potatoes 1Kg,164.71,3,2,2018
Imported Potatoes 1Kg,98.61,3,2,2018
Carrot 1kg,151.81,3,2,2018
Tomatoe No1. 1kg,103.73,3,2,2018
Leeks 1kg,143.33,4,2,2018
Local Potatoes 1Kg,166.09,4,2,2018
Imported Potatoes 1Kg,98.9,4,2,2018
Carrot 1kg,153.11,4,2,2018
Tomatoe No1. 1kg,105.65,4,2,2018
Leeks 1kg,186.32,1,3,2018
Local Potatoes 1Kg,136.19,1,3,2018
Imported Potatoes 1Kg,85.89,1,3,2018
Carrot 1kg,144.11,1,3,2018
Tomatoe No1. 1kg,89.89,1,3,2018
Leeks 1kg,181.71,2,3,2018
Local Potatoes 1Kg,134.58,2,3,2018
Imported Potatoes 1Kg,83.33,2,3,2018
Carrot 1kg,149.14,2,3,2018
Tomatoe No1. 1kg,99.41,2,3,2018
Leeks 1kg,182.46,3,3,2018
Local Potatoes 1Kg,134.0,3,3,2018
Imported Potatoes 1Kg,84.19,3,3,2018
Carrot 1kg,135.67,3,3,2018
Tomatoe No1. 1kg,96.49,3,3,2018
Leeks 1kg,193.64,4,3,2018
Local Potatoes 1Kg,130.2,4,3,2018
Imported Potatoes 1Kg,87.96,4,3,2018
Carrot 1kg,148.57,4,3,2018
Tomatoe No1. 1kg,93.14,4,3,2018
Leeks 1kg,218.75,1,4,2018
Local Potatoes 1Kg,141.18,1,4,2018
Imported Potatoes 1Kg,95.2,1,4,2018
Carrot 1kg,142.78,1,4,2018
Tomatoe No1. 1kg,90.81,1,4,2018
Leeks 1kg,216.22,2,4,2018
Local Potatoes 1Kg,143.92,2,4,2018
Imported Potatoes 1Kg,91.88,2,4,2018
Carrot 1kg,143.41,2,4,2018
Tomatoe No1. 1kg,89.0,2,4,2018
Leeks 1kg,226.29,3,4,2018
Local Potatoes 1Kg,142.72,3,4,2018
Imported Potatoes 1Kg,89.8,3,4,2018
Carrot 1kg,153.79,3,4,2018
Tomatoe No1. 1kg,82.78,3,4,2018
Leeks 1kg,229.71,4,4,2018
Local Potatoes 1Kg,142.52,4,4,2018
Imported Potatoes 1Kg,89.38,4,4,2018
Carrot 1kg,161.78,4,4,2018
Tomatoe No1. 1kg,86.67,4,4,2018
Leeks 1kg,249.64,1,5,2018
Local Potatoes 1Kg,158.25,1,5,2018
Imported Potatoes 1Kg,101.38,1,5,2018
Carrot 1kg,177.2,1,5,2018
Tomatoe No1. 1kg,135.56,1,5,2018
Leeks 1kg,252.9,2,5,2018
Local Potatoes 1Kg,159.08,2,5,2018
Imported Potatoes 1Kg,101.67,2,5,2018
Carrot 1kg,176.78,2,5,2018
Tomatoe No1. 1kg,138.38,2,5,2018
Leeks 1kg,289.16,3,5,2018
Local Potatoes 1Kg,163.46,3,5,2018
Imported Potatoes 1Kg,111.48,3,5,2018
Carrot 1kg,265.76,3,5,2018
Tomatoe No1. 1kg,211.5,3,5,2018
Leeks 1kg,304.76,4,5,2018
Local Potatoes 1Kg,171.27,4,5,2018
Imported Potatoes 1Kg,109.66,4,5,2018
Carrot 1kg,293.71,4,5,2018
Tomatoe No1. 1kg,193.53,4,5,2018
Leeks 1kg,314.44,1,6,2018
Local Potatoes 1Kg,169.28,1,6,2018
Imported Potatoes 1Kg,108.39,1,6,2018
Carrot 1kg,293.53,1,6,2018
Tomatoe No1. 1kg,185.63,1,6,2018
Leeks 1kg,324.11,2,6,2018
Local Potatoes 1Kg,185.22,2,6,2018
Imported Potatoes 1Kg,116.43,2,6,2018
Carrot 1kg,318.89,2,6,2018
Tomatoe No1. 1kg,239.33,2,6,2018
Leeks 1kg,324.0,3,6,2018
Local Potatoes 1Kg,183.18,3,6,2018
Imported Potatoes 1Kg,116.54,3,6,2018
Carrot 1kg,320.0,3,6,2018
Tomatoe No1. 1kg,240.46,3,6,2018
Leeks 1kg,301.18,4,6,2018
Local Potatoes 1Kg,180.42,4,6,2018
Imported Potatoes 1Kg,130.62,4,6,2018
Carrot 1kg,348.24,4,6,2018
Tomatoe No1. 1kg,302.31,4,6,2018
Leeks 1kg,280.53,1,7,2018
Local Potatoes 1Kg,176.85,1,7,2018
Imported Potatoes 1Kg,129.34,1,7,2018
Carrot 1kg,280.65,1,7,2018
Tomatoe No1. 1kg,303.23,1,7,2018
Leeks 1kg,263.33,2,7,2018
Local Potatoes 1Kg,187.47,2,7,2018
Imported Potatoes 1Kg,116.79,2,7,2018
Carrot 1kg,291.95,2,7,2018
Tomatoe No1. 1kg,241.03,2,7,2018
Leeks 1kg,236.84,3,7,2018
Local Potatoes 1Kg,207.93,3,7,2018
Imported Potatoes 1Kg,115.15,3,7,2018
Carrot 1kg,292.97,3,7,2018
Tomatoe No1. 1kg,241.14,3,7,2018
Leeks 1kg,225.49,4,7,2018
Local Potatoes 1Kg,221.13,4,7,2018
Imported Potatoes 1Kg,108.71,4,7,2018
Carrot 1kg,301.82,4,7,2018
Tomatoe No1. 1kg,201.09,4,7,2018
Leeks 1kg,191.71,1,8,2018
Local Potatoes 1Kg,222.4,1,8,2018
Imported Potatoes 1Kg,111.72,1,8,2018
Carrot 1kg,297.78,1,8,2018
Tomatoe No1. 1kg,190.72,1,8,2018
Leeks 1kg,195.09,2,8,2018
Local Potatoes 1Kg,222.4,2,8,2018
Imported Potatoes 1Kg,109.86,2,8,2018
Carrot 1kg,294.05,2,8,2018
Tomatoe No1. 1kg,182.51,2,8,2018
Leeks 1kg,192.67,3,8,2018
Local Potatoes 1Kg,222.57,3,8,2018
Imported Potatoes 1Kg,109.05,3,8,2018
Carrot 1kg,289.47,3,8,2018
Tomatoe No1. 1kg,185.59,3,8,2018
Leeks 1kg,187.37,4,8,2018
Local Potatoes 1Kg,222.0,4,8,2018
Imported Potatoes 1Kg,107.24,4,8,2018
Carrot 1kg,291.79,4,8,2018
Tomatoe No1. 1kg,181.45,4,8,2018
Leeks 1kg,142.0,1,9,2018
